imit	imita	imitʃi	imiti
imik	imika	imiki	imiki
imid	imida	imidʒi	imidi
imig	imiga	imigi	imigi
imat	imata	imatʃi	imati
imak	imaka	imaki	imaki
imad	imada	imadʒi	imadi
imag	imaga	imagi	imagi
imut	imuta	imutʃi	imuti
imuk	imuka	imuki	imuki
imud	imuda	imudʒi	imudi
imug	imuga	imugi	imugi
init	inita	initʃi	initi
inik	inika	iniki	iniki
inid	inida	inidʒi	inidi
inig	iniga	inigi	inigi
inat	inata	inatʃi	inati
inak	inaka	inaki	inaki
inad	inada	inadʒi	inadi
inag	inaga	inagi	inagi
inut	inuta	inutʃi	inuti
inuk	inuka	inuki	inuki
inud	inuda	inudʒi	inudi
inug	inuga	inugi	inugi
ilit	ilita	ilitʃi	iliti
ilik	ilika	iliki	iliki
ilid	ilida	ilidʒi	ilidi
ilig	iliga	iligi	iligi
ilat	ilata	ilatʃi	ilati
ilak	ilaka	ilaki	ilaki
ilad	ilada	iladʒi	iladi
ilag	ilaga	ilagi	ilagi
ilut	iluta	ilutʃi	iluti
iluk	iluka	iluki	iluki
ilud	iluda	iludʒi	iludi
ilug	iluga	ilugi	ilugi
umit	umita	umitʃi	umiti
umik	umika	umiki	umiki
umid	umida	umidʒi	umidi
umig	umiga	umigi	umigi
umat	umata	umatʃi	umati
umak	umaka	umaki	umaki
umad	umada	umadʒi	umadi
umag	umaga	umagi	umagi
umut	umuta	umutʃi	umuti
umuk	umuka	umuki	umuki
umud	umuda	umudʒi	umudi
umug	umuga	umugi	umugi
unit	unita	unitʃi	uniti
unik	unika	uniki	uniki
unid	unida	unidʒi	unidi
unig	uniga	unigi	unigi
unat	unata	unatʃi	unati
unak	unaka	unaki	unaki
unad	unada	unadʒi	unadi
unag	unaga	unagi	unagi
unut	unuta	unutʃi	unuti
unuk	unuka	unuki	unuki
unud	unuda	unudʒi	unudi
unug	unuga	unugi	unugi
ulit	ulita	ulitʃi	uliti
ulik	ulika	uliki	uliki
ulid	ulida	ulidʒi	ulidi
ulig	uliga	uligi	uligi
ulat	ulata	ulatʃi	ulati
ulak	ulaka	ulaki	ulaki
ulad	ulada	uladʒi	uladi
ulag	ulaga	ulagi	ulagi
ulut	uluta	ulutʃi	uluti
uluk	uluka	uluki	uluki
ulud	uluda	uludʒi	uludi
ulug	uluga	ulugi	ulugi
