imit	imita	imiči	imiča
imik	imika	imiki	imika
imid	imida	imiǰi	imiǰa
imig	imiga	imigi	imiga
imat	imata	imači	imača
imak	imaka	imaki	imaka
imad	imada	imaǰi	imaǰa
imag	imaga	imagi	imaga
imut	imuta	imuči	imuča
imuk	imuka	imuki	imuka
imud	imuda	imuǰi	imuǰa
imug	imuga	imugi	imuga
init	inita	iniči	iniča
inik	inika	iniki	inika
inid	inida	iniǰi	iniǰa
inig	iniga	inigi	iniga
inat	inata	inači	inača
inak	inaka	inaki	inaka
inad	inada	inaǰi	inaǰa
inag	inaga	inagi	inaga
inut	inuta	inuči	inuča
inuk	inuka	inuki	inuka
inud	inuda	inuǰi	inuǰa
inug	inuga	inugi	inuga
ilit	ilita	iliči	iliča
ilik	ilika	iliki	ilika
ilid	ilida	iliǰi	iliǰa
ilig	iliga	iligi	iliga
ilat	ilata	ilači	ilača
ilak	ilaka	ilaki	ilaka
ilad	ilada	ilaǰi	ilaǰa
ilag	ilaga	ilagi	ilaga
ilut	iluta	iluči	iluča
iluk	iluka	iluki	iluka
ilud	iluda	iluǰi	iluǰa
ilug	iluga	ilugi	iluga
umit	umita	umiči	umiča
umik	umika	umiki	umika
umid	umida	umiǰi	umiǰa
umig	umiga	umigi	umiga
umat	umata	umači	umača
umak	umaka	umaki	umaka
umad	umada	umaǰi	umaǰa
umag	umaga	umagi	umaga
umut	umuta	umuči	umuča
umuk	umuka	umuki	umuka
umud	umuda	umuǰi	umuǰa
umug	umuga	umugi	umuga
unit	unita	uniči	uniča
unik	unika	uniki	unika
unid	unida	uniǰi	uniǰa
unig	uniga	unigi	uniga
unat	unata	unači	unača
unak	unaka	unaki	unaka
unad	unada	unaǰi	unaǰa
unag	unaga	unagi	unaga
unut	unuta	unuči	unuča
unuk	unuka	unuki	unuka
unud	unuda	unuǰi	unuǰa
unug	unuga	unugi	unuga
ulit	ulita	uliči	uliča
ulik	ulika	uliki	ulika
ulid	ulida	uliǰi	uliǰa
ulig	uliga	uligi	uliga
ulat	ulata	ulači	ulača
ulak	ulaka	ulaki	ulaka
ulad	ulada	ulaǰi	ulaǰa
ulag	ulaga	ulagi	ulaga
ulut	uluta	uluči	uluča
uluk	uluka	uluki	uluka
ulud	uluda	uluǰi	uluǰa
ulug	uluga	ulugi	uluga
