imit	imita	imiči	imiti
imik	imika	imiki	imiki
imid	imida	imiǰi	imidi
imig	imiga	imigi	imigi
imat	imata	imači	imati
imak	imaka	imaki	imaki
imad	imada	imaǰi	imadi
imag	imaga	imagi	imagi
imut	imuta	imuči	imuti
imuk	imuka	imuki	imuki
imud	imuda	imuǰi	imudi
imug	imuga	imugi	imugi
init	inita	iniči	initi
inik	inika	iniki	iniki
inid	inida	iniǰi	inidi
inig	iniga	inigi	inigi
inat	inata	inači	inati
inak	inaka	inaki	inaki
inad	inada	inaǰi	inadi
inag	inaga	inagi	inagi
inut	inuta	inuči	inuti
inuk	inuka	inuki	inuki
inud	inuda	inuǰi	inudi
inug	inuga	inugi	inugi
ilit	ilita	iliči	iliti
ilik	ilika	iliki	iliki
ilid	ilida	iliǰi	ilidi
ilig	iliga	iligi	iligi
ilat	ilata	ilači	ilati
ilak	ilaka	ilaki	ilaki
ilad	ilada	ilaǰi	iladi
ilag	ilaga	ilagi	ilagi
ilut	iluta	iluči	iluti
iluk	iluka	iluki	iluki
ilud	iluda	iluǰi	iludi
ilug	iluga	ilugi	ilugi
umit	umita	umiči	umiti
umik	umika	umiki	umiki
umid	umida	umiǰi	umidi
umig	umiga	umigi	umigi
umat	umata	umači	umati
umak	umaka	umaki	umaki
umad	umada	umaǰi	umadi
umag	umaga	umagi	umagi
umut	umuta	umuči	umuti
umuk	umuka	umuki	umuki
umud	umuda	umuǰi	umudi
umug	umuga	umugi	umugi
unit	unita	uniči	uniti
unik	unika	uniki	uniki
unid	unida	uniǰi	unidi
unig	uniga	unigi	unigi
unat	unata	unači	unati
unak	unaka	unaki	unaki
unad	unada	unaǰi	unadi
unag	unaga	unagi	unagi
unut	unuta	unuči	unuti
unuk	unuka	unuki	unuki
unud	unuda	unuǰi	unudi
unug	unuga	unugi	unugi
ulit	ulita	uliči	uliti
ulik	ulika	uliki	uliki
ulid	ulida	uliǰi	ulidi
ulig	uliga	uligi	uligi
ulat	ulata	ulači	ulati
ulak	ulaka	ulaki	ulaki
ulad	ulada	ulaǰi	uladi
ulag	ulaga	ulagi	ulagi
ulut	uluta	uluči	uluti
uluk	uluka	uluki	uluki
ulud	uluda	uluǰi	uludi
ulug	uluga	ulugi	ulugi
