epa	apepa	etepa
ebu	apebu	etebu
ebi	apebi	etebi
ede	apede	etede
edi	apedi	etedi
enu	apenu	etenu
ena	apena	etena
eme	apeme	eteme
ele	apele	etele
elu	apelu	etelu
ela	apela	etela
ewe	apewe	etewe
ewu	apewu	etewu
ewa	apewa	etewa
ewi	apewi	etewi
upe	apupe	etupe
upu	apupu	etupu
upi	apupi	etupi
ubu	apubu	etubu
ubi	apubi	etubi
uti	aputi	etuti
ude	apude	etude
udu	apudu	etudu
uda	apuda	etuda
udi	apudi	etudi
unu	apunu	etunu
uni	apuni	etuni
ume	apume	etume
umi	apumi	etumi
uli	apuli	etuli
uwe	apuwe	etuwe
uwi	apuwi	etuwi
ape	apape	etape
apu	apapu	etapu
api	apapi	etapi
abu	apabu	etabu
aba	apaba	etaba
abi	apabi	etabi
ate	apate	etate
atu	apatu	etatu
ata	apata	etata
adu	apadu	etadu
ada	apada	etada
ane	apane	etane
ani	apani	etani
ale	apale	etale
awu	apawu	etawu
awa	apawa	etawa
awi	apawi	etawi
ipe	apipe	etipe
ibu	apibu	etibu
iba	apiba	etiba
ita	apita	etita
iti	apiti	etiti
inu	apinu	etinu
ime	apime	etime
ima	apima	etima
imi	apimi	etimi
ile	apile	etile
ilu	apilu	etilu
ili	apili	etili
iwe	apiwe	etiwe
iwa	apiwa	etiwa
iwi	apiwi	etiwi
medu	apimedu	etmedu
mabe	apimabe	etmabe
mema	apimema	etmema
mite	apimite	etmite
meli	apimeli	etmeli
metu	apimetu	etmetu
mipu	apimipu	etmipu
mamu	apimamu	etmamu
mami	apimami	etmami
mute	apimute	etmute
mupa	apimupa	etmupa
mama	apimama	etmama
muwa	apimuwa	etmuwa
mutu	apimutu	etmutu
mepe	apimepe	etmepe
midi	apimidi	etmidi
bini	apibini	edbini
beda	apibeda	edbeda
balu	apibalu	edbalu
bule	apibule	edbule
beta	apibeta	edbeta
bepu	apibepu	edbepu
bune	apibune	edbune
bide	apibide	edbide
bapa	apibapa	edbapa
bene	apibene	edbene
beba	apibeba	edbeba
bipi	apibipi	edbipi
bemu	apibemu	edbemu
beni	apibeni	edbeni
bimu	apibimu	edbimu
bepi	apibepi	edbepi
luma	apluma	etiluma
lade	aplade	etilade
libe	aplibe	etilibe
lana	aplana	etilana
luna	apluna	etiluna
lanu	aplanu	etilanu
lete	aplete	etilete
lulu	aplulu	etilulu
luwu	apluwu	etiluwu
lali	aplali	etilali
luta	apluta	etiluta
litu	aplitu	etilitu
lida	aplida	etilida
lawe	aplawe	etilawe
lipa	aplipa	etilipa
lula	aplula	etilula
debe	abdebe	etidebe
dadi	abdadi	etidadi
didu	abdidu	etididu
dala	abdala	etidala
dina	abdina	etidina
dibi	abdibi	etidibi
dine	abdine	etidine
dame	abdame	etidame
dati	abdati	etidati
diwu	abdiwu	etidiwu
deti	abdeti	etideti
duba	abduba	etiduba
demi	abdemi	etidemi
dila	abdila	etidila
dumu	abdumu	etidumu
dube	abdube	etidube
