epa	apepa	etepa
ebu	apebu	etebu
ebi	apebi	etebi
ede	apede	etede
edi	apedi	etedi
enu	apenu	etenu
ena	apena	etena
eme	apeme	eteme
ele	apele	etele
elu	apelu	etelu
ela	apela	etela
ewe	apewe	etewe
ewu	apewu	etewu
ewa	apewa	etewa
ewi	apewi	etewi
upe	apupe	etupe
upu	apupu	etupu
upi	apupi	etupi
ubu	apubu	etubu
ubi	apubi	etubi
uti	aputi	etuti
ude	apude	etude
udu	apudu	etudu
uda	apuda	etuda
udi	apudi	etudi
unu	apunu	etunu
uni	apuni	etuni
ume	apume	etume
umi	apumi	etumi
uli	apuli	etuli
uwe	apuwe	etuwe
uwi	apuwi	etuwi
ape	apape	etape
apu	apapu	etapu
api	apapi	etapi
abu	apabu	etabu
aba	apaba	etaba
abi	apabi	etabi
ate	apate	etate
atu	apatu	etatu
ata	apata	etata
adu	apadu	etadu
ada	apada	etada
ane	apane	etane
ani	apani	etani
ale	apale	etale
awu	apawu	etawu
awa	apawa	etawa
awi	apawi	etawi
ipe	apipe	etipe
ibu	apibu	etibu
iba	apiba	etiba
ita	apita	etita
iti	apiti	etiti
inu	apinu	etinu
ime	apime	etime
ima	apima	etima
imi	apimi	etimi
ile	apile	etile
ilu	apilu	etilu
ili	apili	etili
iwe	apiwe	etiwe
iwa	apiwa	etiwa
iwi	apiwi	etiwi
medu	apimedu	etmedu
mabe	apimabe	etmabe
mema	apimema	etmema
mite	apimite	etmite
meli	apimeli	etmeli
metu	apimetu	etmetu
mipu	apimipu	etmipu
mamu	apimamu	etmamu
mami	apimami	etmami
mute	apimute	etmute
mupa	apimupa	etmupa
mama	apimama	etmama
muwa	apimuwa	etmuwa
mutu	apimutu	etmutu
mepe	apimepe	etmepe
midi	apimidi	etmidi
bini	abibini	edbini
beda	abibeda	edbeda
balu	abibalu	edbalu
bule	abibule	edbule
beta	abibeta	edbeta
bepu	abibepu	edbepu
bune	abibune	edbune
bide	abibide	edbide
bapa	abibapa	edbapa
bene	abibene	edbene
beba	abibeba	edbeba
bipi	abibipi	edbipi
bemu	abibemu	edbemu
beni	abibeni	edbeni
bimu	abibimu	edbimu
bepi	abibepi	edbepi
luma	apluma	etiluma
lade	aplade	etilade
libe	aplibe	etilibe
lana	aplana	etilana
luna	apluna	etiluna
lanu	aplanu	etilanu
lete	aplete	etilete
lulu	aplulu	etilulu
luwu	apluwu	etiluwu
lali	aplali	etilali
luta	apluta	etiluta
litu	aplitu	etilitu
lida	aplida	etilida
lawe	aplawe	etilawe
lipa	aplipa	etilipa
lula	aplula	etilula
debe	abdebe	edidebe
dadi	abdadi	edidadi
didu	abdidu	edididu
dala	abdala	edidala
dina	abdina	edidina
dibi	abdibi	edidibi
dine	abdine	edidine
dame	abdame	edidame
dati	abdati	edidati
diwu	abdiwu	edidiwu
deti	abdeti	edideti
duba	abduba	ediduba
demi	abdemi	edidemi
dila	abdila	edidila
dumu	abdumu	edidumu
dube	abdube	edidube
