epa	epaa	epai	epan
ebu	ebua	ebui	ebun
ebi	ebia	ebii	ebin
eze	ezea	ezei	ezen
ezi	ezia	ezii	ezin
enu	enua	enui	enun
ena	enaa	enai	enan
eme	emea	emei	emen
eje	ejea	ejei	ejen
eju	ejua	ejui	ejun
eja	ejaa	ejai	ejan
ewe	ewea	ewei	ewen
ewu	ewua	ewui	ewun
ewa	ewaa	ewai	ewan
ewi	ewia	ewii	ewin
upe	upea	upei	upen
upu	upua	upui	upun
upi	upia	upii	upin
ubu	ubua	ubui	ubun
ubi	ubia	ubii	ubin
usi	usia	usii	usin
uze	uzea	uzei	uzen
uzu	uzua	uzui	uzun
uza	uzaa	uzai	uzan
uzi	uzia	uzii	uzin
unu	unua	unui	unun
uni	unia	unii	unin
ume	umea	umei	umen
umi	umia	umii	umin
uji	ujia	ujii	ujin
uwe	uwea	uwei	uwen
uwi	uwia	uwii	uwin
ape	apea	apei	apen
apu	apua	apui	apun
api	apia	apii	apin
abu	abua	abui	abun
aba	abaa	abai	aban
abi	abia	abii	abin
ase	asea	asei	asen
asu	asua	asui	asun
asa	asaa	asai	asan
azu	azua	azui	azun
aza	azaa	azai	azan
ane	anea	anei	anen
ani	ania	anii	anin
aje	ajea	ajei	ajen
awu	awua	awui	awun
awa	awaa	awai	awan
awi	awia	awii	awin
ipe	ipea	ipei	ipen
ibu	ibua	ibui	ibun
iba	ibaa	ibai	iban
isa	isaa	isai	isan
isi	isia	isii	isin
inu	inua	inui	inun
ime	imea	imei	imen
ima	imaa	imai	iman
imi	imia	imii	imin
ije	ijea	ijei	ijen
iju	ijua	ijui	ijun
iji	ijia	ijii	ijin
iwe	iwea	iwei	iwen
iwa	iwaa	iwai	iwan
iwi	iwia	iwii	iwin
ezut	ezuta	ezutʃi	ezutin
abet	abeta	abetʃi	abetin
emat	emata	ematʃi	ematin
iset	iseta	isetʃi	isetin
ejit	ejita	ejitʃi	ejitin
esut	esuta	esutʃi	esutin
iput	iputa	iputʃi	iputin
amut	amuta	amutʃi	amutin
amit	amita	amitʃi	amitin
uset	useta	usetʃi	usetin
upat	upata	upatʃi	upatin
amat	amata	amatʃi	amatin
uwat	uwata	uwatʃi	uwatin
usut	usuta	usutʃi	usutin
epet	epeta	epetʃi	epetin
izit	izita	izitʃi	izitin
inid	inida	inidʒi	inidin
ezad	ezada	ezadʒi	ezadin
ajud	ajuda	ajudʒi	ajudin
ujed	ujeda	ujedʒi	ujedin
esad	esada	esadʒi	esadin
epud	epuda	epudʒi	epudin
uned	uneda	unedʒi	unedin
ized	izeda	izedʒi	izedin
apad	apada	apadʒi	apadin
ened	eneda	enedʒi	enedin
ebad	ebada	ebadʒi	ebadin
ipid	ipida	ipidʒi	ipidin
emud	emuda	emudʒi	emudin
enid	enida	enidʒi	enidin
imud	imuda	imudʒi	imudin
epid	epida	epidʒi	epidin
umak	umaka	umaki	umakin
azek	azeka	azeki	azekin
ibek	ibeka	ibeki	ibekin
anak	anaka	anaki	anakin
unak	unaka	unaki	unakin
anuk	anuka	anuki	anukin
esek	eseka	eseki	esekin
ujuk	ujuka	ujuki	ujukin
uwuk	uwuka	uwuki	uwukin
ajik	ajika	ajiki	ajikin
usak	usaka	usaki	usakin
isuk	isuka	isuki	isukin
izak	izaka	izaki	izakin
awek	aweka	aweki	awekin
ipak	ipaka	ipaki	ipakin
ujak	ujaka	ujaki	ujakin
ebeg	ebega	ebegi	ebegin
azig	aziga	azigi	azigin
izug	izuga	izugi	izugin
ajag	ajaga	ajagi	ajagin
inag	inaga	inagi	inagin
ibig	ibiga	ibigi	ibigin
ineg	inega	inegi	inegin
ameg	amega	amegi	amegin
asig	asiga	asigi	asigin
iwug	iwuga	iwugi	iwugin
esig	esiga	esigi	esigin
ubag	ubaga	ubagi	ubagin
emig	emiga	emigi	emigin
ijag	ijaga	ijagi	ijagin
umug	umuga	umugi	umugin
ubeg	ubega	ubegi	ubegin
