epa	epaa	epai	epan
ebu	ebua	ebui	ebun
ebi	ebia	ebii	ebin
eze	ezea	ezei	ezen
ezi	ezia	ezii	ezin
enu	enua	enui	enun
ena	enaa	enai	enan
eme	emea	emei	emen
eje	ejea	ejei	ejen
eju	ejua	ejui	ejun
eja	ejaa	ejai	ejan
ewe	ewea	ewei	ewen
ewu	ewua	ewui	ewun
ewa	ewaa	ewai	ewan
ewi	ewia	ewii	ewin
upe	upea	upei	upen
upu	upua	upui	upun
upi	upia	upii	upin
ubu	ubua	ubui	ubun
ubi	ubia	ubii	ubin
usi	usia	usii	usin
uze	uzea	uzei	uzen
uzu	uzua	uzui	uzun
uza	uzaa	uzai	uzan
uzi	uzia	uzii	uzin
unu	unua	unui	unun
uni	unia	unii	unin
ume	umea	umei	umen
umi	umia	umii	umin
uji	ujia	ujii	ujin
uwe	uwea	uwei	uwen
uwi	uwia	uwii	uwin
ape	apea	apei	apen
apu	apua	apui	apun
api	apia	apii	apin
abu	abua	abui	abun
aba	abaa	abai	aban
abi	abia	abii	abin
ase	asea	asei	asen
asu	asua	asui	asun
asa	asaa	asai	asan
azu	azua	azui	azun
aza	azaa	azai	azan
ane	anea	anei	anen
ani	ania	anii	anin
aje	ajea	ajei	ajen
awu	awua	awui	awun
awa	awaa	awai	awan
awi	awia	awii	awin
ipe	ipea	ipei	ipen
ibu	ibua	ibui	ibun
iba	ibaa	ibai	iban
isa	isaa	isai	isan
isi	isia	isii	isin
inu	inua	inui	inun
ime	imea	imei	imen
ima	imaa	imai	iman
imi	imia	imii	imin
ije	ijea	ijei	ijen
iju	ijua	ijui	ijun
iji	ijia	ijii	ijin
iwe	iwea	iwei	iwen
iwa	iwaa	iwai	iwan
iwi	iwia	iwii	iwin
ezut	ezuta	ezutʃi	ezutʃin
abet	abeta	abetʃi	abetʃin
emat	emata	ematʃi	ematʃin
iset	iseta	isetʃi	isetʃin
ejit	ejita	ejitʃi	ejitʃin
esut	esuta	esutʃi	esutʃin
iput	iputa	iputʃi	iputʃin
amut	amuta	amutʃi	amutʃin
amit	amita	amitʃi	amitʃin
uset	useta	usetʃi	usetʃin
upat	upata	upatʃi	upatʃin
amat	amata	amatʃi	amatʃin
uwat	uwata	uwatʃi	uwatʃin
usut	usuta	usutʃi	usutʃin
epet	epeta	epetʃi	epetʃin
izit	izita	izitʃi	izitʃin
inid	inida	inidʒi	inidʒin
ezad	ezada	ezadʒi	ezadʒin
ajud	ajuda	ajudʒi	ajudʒin
ujed	ujeda	ujedʒi	ujedʒin
esad	esada	esadʒi	esadʒin
epud	epuda	epudʒi	epudʒin
uned	uneda	unedʒi	unedʒin
ized	izeda	izedʒi	izedʒin
apad	apada	apadʒi	apadʒin
ened	eneda	enedʒi	enedʒin
ebad	ebada	ebadʒi	ebadʒin
ipid	ipida	ipidʒi	ipidʒin
emud	emuda	emudʒi	emudʒin
enid	enida	enidʒi	enidʒin
imud	imuda	imudʒi	imudʒin
epid	epida	epidʒi	epidʒin
umak	umaka	umaki	umakin
azek	azeka	azeki	azekin
ibek	ibeka	ibeki	ibekin
anak	anaka	anaki	anakin
unak	unaka	unaki	unakin
anuk	anuka	anuki	anukin
esek	eseka	eseki	esekin
ujuk	ujuka	ujuki	ujukin
uwuk	uwuka	uwuki	uwukin
ajik	ajika	ajiki	ajikin
usak	usaka	usaki	usakin
isuk	isuka	isuki	isukin
izak	izaka	izaki	izakin
awek	aweka	aweki	awekin
ipak	ipaka	ipaki	ipakin
ujak	ujaka	ujaki	ujakin
ebeg	ebega	ebegi	ebegin
azig	aziga	azigi	azigin
izug	izuga	izugi	izugin
ajag	ajaga	ajagi	ajagin
inag	inaga	inagi	inagin
ibig	ibiga	ibigi	ibigin
ineg	inega	inegi	inegin
ameg	amega	amegi	amegin
asig	asiga	asigi	asigin
iwug	iwuga	iwugi	iwugin
esig	esiga	esigi	esigin
ubag	ubaga	ubagi	ubagin
emig	emiga	emigi	emigin
ijag	ijaga	ijagi	ijagin
umug	umuga	umugi	umugin
ubeg	ubega	ubegi	ubegin
