usa	usaa	usai	usan
uja	ujaa	ujai	ujan
uwa	uwaa	uwai	uwan
uwi	uwia	uwii	uwin
apu	apua	apui	apun
apa	apaa	apai	apan
api	apia	apii	apin
aba	abaa	abai	aban
asa	asaa	asai	asan
azi	azia	azii	azin
anu	anua	anui	anun
ana	anaa	anai	anan
ami	amia	amii	amin
awa	awaa	awai	awan
awi	awia	awii	awin
ipa	ipaa	ipai	ipan
ipi	ipia	ipii	ipin
ibu	ibua	ibui	ibun
isi	isia	isii	isin
ina	inaa	inai	inan
ini	inia	inii	inin
ima	imaa	imai	iman
ija	ijaa	ijai	ijan
iwu	iwua	iwui	iwun
usut	usuta	usuči	usutin
azat	azata	azači	azatin
uzit	uzita	uziči	uzitin
ibat	ibata	ibači	ibatin
iwat	iwata	iwači	iwatin
unat	unata	unači	unatin
ubat	ubata	ubači	ubatin
iput	iputa	ipuči	iputin
ajut	ajuta	ajuči	ajutin
uwut	uwuta	uwuči	uwutin
isut	isuta	isuči	isutin
ubut	ubuta	ubuči	ubutin
umud	umuda	umuǰi	umudin
unud	unuda	unuǰi	unudin
abud	abuda	abuǰi	abudin
ajad	ajada	ajaǰi	ajadin
ijid	ijida	ijiǰi	ijidin
isad	isada	isaǰi	isadin
ujid	ujida	ujiǰi	ujidin
iwid	iwida	iwiǰi	iwidin
upud	upuda	upuǰi	upudin
azud	azuda	azuǰi	azudin
inud	inuda	inuǰi	inudin
usid	usida	usiǰi	usidin
izak	izaka	izaki	izakin
anik	anika	aniki	anikin
uzuk	uzuka	uzuki	uzukin
upak	upaka	upaki	upakin
asik	asika	asiki	asikin
ajik	ajika	ajiki	ajikin
unik	unika	uniki	unikin
ubik	ubika	ubiki	ubikin
uzak	uzaka	uzaki	uzakin
ujuk	ujuka	ujuki	ujukin
umik	umika	umiki	umikin
upik	upika	upiki	upikin
awug	awuga	awugi	awugin
izig	iziga	izigi	izigin
imug	imuga	imugi	imugin
amag	amaga	amagi	amagin
ijug	ijuga	ijugi	ijugin
izug	izuga	izugi	izugin
umag	umaga	umagi	umagin
ibig	ibiga	ibigi	ibigin
abig	abiga	abigi	abigin
asug	asuga	asugi	asugin
imig	imiga	imigi	imigin
amug	amuga	amugi	amugin
