usa	usaa	usai	usan
uja	ujaa	ujai	ujan
uwa	uwaa	uwai	uwan
uwi	uwia	uwii	uwin
apu	apua	apui	apun
apa	apaa	apai	apan
api	apia	apii	apin
aba	abaa	abai	aban
asa	asaa	asai	asan
azi	azia	azii	azin
anu	anua	anui	anun
ana	anaa	anai	anan
ami	amia	amii	amin
awa	awaa	awai	awan
awi	awia	awii	awin
ipa	ipaa	ipai	ipan
ipi	ipia	ipii	ipin
ibu	ibua	ibui	ibun
isi	isia	isii	isin
ina	inaa	inai	inan
ini	inia	inii	inin
ima	imaa	imai	iman
ija	ijaa	ijai	ijan
iwu	iwua	iwui	iwun
usut	usuta	usuči	usučin
azat	azata	azači	azačin
uzit	uzita	uziči	uzičin
ibat	ibata	ibači	ibačin
iwat	iwata	iwači	iwačin
unat	unata	unači	unačin
ubat	ubata	ubači	ubačin
iput	iputa	ipuči	ipučin
ajut	ajuta	ajuči	ajučin
uwut	uwuta	uwuči	uwučin
isut	isuta	isuči	isučin
ubut	ubuta	ubuči	ubučin
umud	umuda	umuǰi	umuǰin
unud	unuda	unuǰi	unuǰin
abud	abuda	abuǰi	abuǰin
ajad	ajada	ajaǰi	ajaǰin
ijid	ijida	ijiǰi	ijiǰin
isad	isada	isaǰi	isaǰin
ujid	ujida	ujiǰi	ujiǰin
iwid	iwida	iwiǰi	iwiǰin
upud	upuda	upuǰi	upuǰin
azud	azuda	azuǰi	azuǰin
inud	inuda	inuǰi	inuǰin
usid	usida	usiǰi	usiǰin
izak	izaka	izaki	izakin
anik	anika	aniki	anikin
uzuk	uzuka	uzuki	uzukin
upak	upaka	upaki	upakin
asik	asika	asiki	asikin
ajik	ajika	ajiki	ajikin
unik	unika	uniki	unikin
ubik	ubika	ubiki	ubikin
uzak	uzaka	uzaki	uzakin
ujuk	ujuka	ujuki	ujukin
umik	umika	umiki	umikin
upik	upika	upiki	upikin
awug	awuga	awugi	awugin
izig	iziga	izigi	izigin
imug	imuga	imugi	imugin
amag	amaga	amagi	amagin
ijug	ijuga	ijugi	ijugin
izug	izuga	izugi	izugin
umag	umaga	umagi	umagin
ibig	ibiga	ibigi	ibigin
abig	abiga	abigi	abigin
asug	asuga	asugi	asugin
imig	imiga	imigi	imigin
amug	amuga	amugi	amugin
