pafEk	pafEkita	pafEkilis	
tapik	tapiita	tapiilis	
kEtSak	kEtSaita	kEtSailis	
simuk	simuita	simuilis	
fEjuk	fEjuita	fEjuilis	
tSElik	tSEliita	tSEliilis	
jisak	jisaita	jisailis	
nikEk	nikEkita	nikEkilis	
wutik	wutiita	wutiilis	
runak	runaita	runailis	
luwEk	luwEkita	luwEkilis	
mamuk	mamuita	mamuilis	
pEpu	pEputa	pEpuilis	pEpusEk
kisE	kisEta	kisEilis	kisEsEk
fati	fatita	fatiilis	fatisEk
taru	taruta	taruilis	tarusEk
fuwE	fuwEta	fuwEilis	fuwEsEk
kija	kijata	kijailis	kijasEk
napE	napEta	napEilis	napEsEk
mitSu	mitSuta	mitSuilis	mitSusEk
lEki	lEkita	lEkiilis	lEkisEk
jEma	jEmata	jEmailis	jEmasEk
wuna	wunata	wunailis	wunasEk
ruli	rulita	ruliilis	rulisEk
satus	satusita	satusilis	
pair	pairita	pairilis	
tatSEm	tatSEmita	tatSEmilis	
firap	firapita	firapilis	
tSunEt	tSunEtita	tSunEtilis	
kuwiw	kuwiwita	kuwiwilis	
mafEs	mafEsita	mafEsilis	
jEpar	jEparita	jEparilis	
nusam	nusamita	nusamilis	
lElip	lElipita	lElipilis	
wEjut	wEjutita	wEjutilis	
rimuj	rimujita	rimujilis	
